chain_key,total_pois,sample_raw_names,proposed_canonical_brand_id,proposed_display_name_en,proposed_display_name_ar,confidence,notes
دوار السعادة,76,دوار السعادة,,,,medium,"high count, manual classification needed"
مزاج مغربي,56,مزاج مغربي,,,,medium,"high count, manual classification needed"
ماكدونالدز السعودية,45,ماكدونالدز السعودية,mcdonalds,McDonald's,ماكدونالدز,high,
بوفية,44,بوفية,,,,medium,"high count, manual classification needed"
سينابون,39,سينابون,cinnabon,Cinnabon,سينابون,high,
ماك كافيه,39,ماك كافيه,,,,low,matches non-chain pattern 'كافيه'
حلويات المملكة,39,حلويات المملكة,,,,low,matches non-chain pattern 'حلويات'
تيم هورتنز,37,تيم هورتنز,tim_hortons,Tim Hortons,تيم هورتنز,high,
برغرايززر,37,برغرايززر,,,,medium,"high count, manual classification needed"
فلافل ثمار,32,فلافل ثمار,,,,medium,"high count, manual classification needed"
مخبز,32,مخبز,,,,low,matches non-chain pattern 'مخبز'
مايسترو بيتزا,32,مايسترو بيتزا,maestro_pizza,Maestro Pizza,مايسترو بيتزا,high,
بينزاتا افضل من البيتزا,31,بينزاتا - أفضل من البيتزا,,,,medium,"high count, manual classification needed"
برجر كنج,31,برجر كنج,burger_king,Burger King,برجر كنج,high,
حلويات جرير,31,حلويات جرير,,,,low,matches non-chain pattern 'حلويات'
فطيرة الفلافل,31,فطيرة الفلافل,,,,medium,"high count, manual classification needed"
تيفو ساندويتش,30,تيفو ساندويتش,,,,medium,"high count, manual classification needed"
كريسبي كريم دونات دبلها,30,كريسبي كريم دونات 🔥 دبلها,,,,medium,"high count, manual classification needed"
ماد بيتزا,29,ماد بيتزا,,,,medium,"high count, manual classification needed"
خلية خالد,29,خلية خالد,,,,medium,"high count, manual classification needed"
عنوان القهوة بوتيك,29,عنوان القهوة بوتيك,coffee_address,Coffee Address,عنوان القهوة,high,
انوش,28,أنوش,,,,medium,"high count, manual classification needed"
جولدن براون,28,جولدن براون,,,,medium,"high count, manual classification needed"
امبراطور الشاورما,27,إمبراطور الشاورما || امبراطور الشاورما,,,,medium,"high count, manual classification needed"
